term,total_count,translation_de,sources,verified
sob,13,Dyspnoe,umls,TRUE
Endotracheal tube,25,Endotrachealtubus,umls,TRUE
vomiting,7,Erbrechen,umls,TRUE
effusions,20,Ergüsse,umls,TRUE
effusion,59,Erguss,umls,TRUE
Elevation,15,Erhöhung,umls,TRUE
fever,28,Fieber,umls,TRUE
fracture,15,Fraktur,umls,TRUE
fractures,7,Fraktur,umls,TRUE
woman,62,Frau,umls,TRUE
F,48,Frau,umls,TRUE
Frontal,39,Frontal,umls,TRUE
neck,10,Hals,umls,TRUE
hemidiaphragm,23,Hemidiaphragma,umls,TRUE
hemithorax,19,Hemithorax,umls,TRUE
Heart,30,Herz,umls,TRUE
hiatal hernia,10,Hiatushernie,umls,TRUE
hilar,15,hilär,umls,TRUE
cough,79,Husten,umls,TRUE
hypoxia,7,Hypoxie,umls,TRUE
infiltrate,18,Infiltration,umls,TRUE
intubation,13,Intubation,umls,TRUE
cardiac,49,Kardial,umls,TRUE
CABG,15,Kardiale Revaskularisierung mit Bypass-Anastomose,umls,TRUE
cardiomegaly,62,Kardiomegalie,umls,TRUE
catheter,8,Katheter,umls,TRUE
line,7,Katheter,umls,TRUE
clear,24,Klar,umls,TRUE
collapse,10,Kollaps,umls,TRUE
consolidation,165,Konsolidierung,umls,TRUE
consolidations,15,Konsolidierung,umls,TRUE
lateral,48,Lateral,umls,TRUE
left lower lobe,15,Linker Unterlappen,umls,TRUE
lung,90,Lunge,umls,TRUE
lungs,31,Lungen,umls,TRUE
pulmonary edema,117,Lungenödem,umls,TRUE
"pulmonary
 edema",15,Lungenödem,umls,TRUE
lung bases,16,Lungenbasen,umls,TRUE
lung base,36,Lungenbasis,umls,TRUE
pleural fluid,9,Lungenflüssigkeit,umls,TRUE
Lung volumes,27,Lungenvolumen,umls,TRUE
lymphadenopathy,7,Lymphadenopathie,umls,TRUE
male,22,männlich,umls,TRUE
man,88,Mann,umls,TRUE
M,45,Mann,umls,TRUE
median sternotomy,9,Median-Sternotomie,umls,TRUE
mediastinal,57,mediastinal,umls,TRUE
mediastinum,22,Mediastinum,umls,TRUE
exam,23,Untersuchung,umls,TRUE
NG tube,16,Nasensonde,umls,TRUE
normal,11,Normal,umls,TRUE
upper lobe,10,Oberlappen,umls,TRUE
opacity,96,Opazität,umls,TRUE
opacities,54,Opazitäten,umls,TRUE
PA,128,p.a.,umls,TRUE
PICC line,17,PICC,umls,TRUE
pleural effusion,150,Pleuraerguss,umls,TRUE
pleural effusions,59,Pleuraerguss,umls,TRUE
"pleural
 effusion",24,Pleuraerguss,umls,TRUE
"pleural
 effusions",8,Pleuraerguss,umls,TRUE
pleural,30,Pleural,umls,TRUE
pleural thickening,10,Pleuraverdickung,umls,TRUE
pneumonia,181,Pneumonie,umls,TRUE
pna,24,Pneumonie,umls,TRUE
pneumothorax,346,Pneumothorax,umls,TRUE
PTX,14,Pneumothorax,umls,TRUE
Chest frontal,9,Thorax frontal,umls,TRUE
radiograph,58,Röntgenaufnahme,umls,TRUE
radiographs,21,Röntgenaufnahmen,umls,TRUE
Chest radiographs,59,Thorax-R�ntgen,umls,TRUE
chest x-ray,12,Thorax-R�ntgen,umls,TRUE
chest CT,12,Thorax-R�ntgen,umls,TRUE
mass,12,Raumforderung,umls,TRUE
right ventricle,9,Rechte Herzkammer,umls,TRUE
right upper lobe,9,Rechter Oberlappen,umls,TRUE
right lower lobe,13,Rechter Unterlappen,umls,TRUE
right atrium,11,Rechter Vorhof,umls,TRUE
rib fractures,7,Rippenfraktur,umls,TRUE
pain,10,Schmerzen,umls,TRUE
costophrenic angle,10,Sinus costodiaphragmaticus,umls,TRUE
Fall,9,Sturz,umls,TRUE
Blunting,17,abgeflacht,umls,TRUE
subclavian,9,subklavikulär,umls,TRUE
syncope,7,Synkope,umls,TRUE
CHEST,370,Thorax,umls,TRUE
CT chest,8,Thorax-CT,umls,TRUE
chest tube,21,Thoraxdrainage,umls,TRUE
Chest pain,43,Thoraxschmerz,umls,TRUE
Tortuosity,11,Tortuosität,umls,TRUE
opacification,20,Trübung,umls,TRUE
tracheostomy tube,10,Trachealkan�le,umls,TRUE
lower lobe,14,Unterlappen,umls,TRUE
examination,22,Untersuchung,umls,TRUE
altered mental status,9,Ver�nderter Bewusstseinszustand,umls,TRUE
enlarged,12,vergrössert,umls,TRUE
scarring,9,Vernarbung,umls,TRUE
female,23,weiblich,umls,TRUE
central venous catheter,10,Zentraler Venenkatheter,umls,TRUE
basilar,9,basilar,,TRUE
base,31,Basis,,TRUE
findings,7,Befunde,,TRUE
Aeration,14,Belüftung,,TRUE
Frontal view,10,Frontalsicht,,TRUE
engorged,13,geschwollen,,TRUE
Heart size,24,Herzgrösse,,TRUE
cardiac silhouette,9,Herzsilhouette,,TRUE
infection,35,Infektion,,TRUE
LAT,58,lateral,,TRUE
lateral views,75,Lateralansichten,,TRUE
lateral view,10,Lateralansicht,,TRUE
pulmonary vascular congestion,16,Lungenödem,,TRUE
Pulmonary vasculature,8,Lungengef�sse,,TRUE
stomach,46,Magen,,TRUE
nasogastric tube,27,Nasensonde,,TRUE
lung opacities,7,Opazitäten der Lunge,,TRUE
PICC,21,PICC,,TRUE
Port-A-Cath,11,Portkatheter,,TRUE
PA and lateral views,10,P.a. und laterale  Aufnahmen,,TRUE
"pulmonary vascular
 congestion",9,Lungen�dem,,TRUE
CHEST RADIOGRAPH,110,Thorax-R�ntgen,,TRUE
study,14,Aufnahme,,TRUE
internal jugular,12,Vena jugularis interna,,TRUE
interval change,10,Veränderung,,TRUE
