term;total_count;translation_de;sources;verified
diaphragm;19;Diaphragma;umls;True
degenerative changes;19;Degenerative Veränderungen;umls;True
CT;33;CT;umls;True
COPD;15;COPD;umls;True
Surgical clips;8;chirurgische Klammern;umls;True
carina;29;Carina;umls;True
thoracic spine;17;Brustwirbelsäule;umls;True
chest wall;9;Brustwand;umls;True
impression no evidence;40;Beurteilung: kein Hinweis;analysis;True
impression;814;Beurteilung;analysis;True
report;1004;Bericht;analysis;True
Aeration;14;Belüftung;;True
bilateral;232;beidseitig;analysis;True
findings;7;Befunde;;True
bases;8;Basis;umls;True
base;31;Basis;;True
basilar;9;basilar;;True
study;14;Aufnahme;;True
atelectasis;129;Atelektase;umls;True
Aspiration;32;Aspiration;umls;True
thoracic aorta;9;Aorta thoracica;umls;True
view;192;Ansicht;analysis;True
appropriate clinical setting;40;angemessenes klinisches Umfeld;analysis;True
acute cardiopulmonary;204;akut kardiopulmonal;analysis;True
acute;466;akut;analysis;True
Blunting;17;abgeflacht;umls;True
abdomen;9;Abdomen;umls;True
AP;14;a.p.;umls;True
hyperinflated;11;überbläht;umls;True
edema;28;Ödem;umls;True
