term,normalized_text,categories,failure_count,avg_confidence,translation_de,notes,verified
tortuosity,Tortuosity,SymptomOrSign,10,0.99,Tortuosität,"Failed 10 times, confidence: 0.99",TRUE
right ventricle,Right ventricular structure,BodyStructure,9,0.91,Rechte Herzkammer,"Failed 9 times, confidence: 0.91",TRUE
abdomen,Abdomen,BodyStructure,9,1,Abdomen,"Failed 9 times, confidence: 1.0",TRUE
subclavian,Subclavicular approach,"BodyStructure, TreatmentName",9,0.91,subklavikulär,"Failed 9 times, confidence: 0.91",TRUE
pleural fluid,Pleural fluid,SymptomOrSign,9,0.95,Lungenflüssigkeit,"Failed 9 times, confidence: 0.95",TRUE
median sternotomy,Median Sternotomy,TreatmentName,9,0.99,Median-Sternotomie,"Failed 9 times, confidence: 0.99",TRUE
chest wall,Chest wall structure,BodyStructure,9,0.98,Brustwand,"Failed 9 times, confidence: 0.98",TRUE
basilar,Basilar,BodyStructure,9,0.85,basilar,"Failed 9 times, confidence: 0.85",TRUE
thoracic aorta,Thoracic aorta,"BodyStructure, SymptomOrSign",9,0.92,Aorta thoracalis,"Failed 9 times, confidence: 0.92",TRUE
scarring,Cicatrix,SymptomOrSign,9,0.99,Vernarbung,"Failed 9 times, confidence: 0.99",TRUE
right upper lobe,Structure of right upper lobe of lung,BodyStructure,9,0.86,Rechter Oberlappen,"Failed 9 times, confidence: 0.86",TRUE
"pulmonary vascular
 congestion",Pulmonary vascular congestion,SymptomOrSign,9,0.88,pulmonalvaskulär,"Failed 9 times, confidence: 0.88",TRUE
Chest frontal,Anterior chest wall structure,ExaminationName,8,0.94,Posteroanterior,"Failed 8 times, confidence: 0.94",TRUE
catheter,catheter device,TreatmentName,8,0.99,Katheter,"Failed 8 times, confidence: 0.99",TRUE
lateral view,Views lateral,ExaminationName,8,0.94,Lateralansicht,"Failed 8 times, confidence: 0.94",TRUE
CT chest,Chest CT,ExaminationName,8,0.99,Thorax-CT,"Failed 8 times, confidence: 0.99",TRUE
frontal view,Views frontal,ExaminationName,8,0.97,Frontalsicht,"Failed 8 times, confidence: 0.97",TRUE
bases,Basal segment of lung,BodyStructure,8,0.95,Basen,"Failed 8 times, confidence: 0.95",TRUE
line,Intravascular line,TreatmentName,7,0.92,Katheter,"Failed 7 times, confidence: 0.92",TRUE
lung opacities,Lung opacity,"ExaminationName, SymptomOrSign",7,0.88,Opazitäten der Lunge,"Failed 7 times, confidence: 0.88",TRUE
hypoxia,Hypoxia,SymptomOrSign,7,0.94,Hypoxie,"Failed 7 times, confidence: 0.94",TRUE
findings,findings aspects,SymptomOrSign,7,0.89,Befunde,"Failed 7 times, confidence: 0.89",TRUE
cardiac silhouette,Cardiac shadow viewed radiologically,"BodyStructure, SymptomOrSign",7,0.93,Herzsilhouette,"Failed 7 times, confidence: 0.93",TRUE
tortuous,Tortuous,SymptomOrSign,6,0.98,gewunden,"Failed 6 times, confidence: 0.98",TRUE
