term,total_count,translation_de,sources,verified
neck,10,Hals,umls,TRUE
engorged,13,geschwollen,,TRUE
Frontal view,10,Frontalsicht,,TRUE
Frontal,39,Frontal,umls,TRUE
woman,62,Frau,umls,TRUE
F,48,Frau,umls,TRUE
fracture,15,Fraktur,umls,TRUE
fractures,7,Fraktur,umls,TRUE
focal consolidation,196,fokale Konsolidierung,analysis,TRUE
focal,284,fokal,analysis,TRUE
fever,28,Fieber,umls,TRUE
Elevation,15,Erhöhung,umls,TRUE
effusion,59,Erguss,umls,TRUE
effusions,20,Ergüsse,umls,TRUE
vomiting,7,Erbrechen,umls,TRUE
Endotracheal tube,25,Endotrachealtubus,umls,TRUE
final report,1000,Endbericht,analysis,TRUE
shortness of breath,23,Dyspnoe,umls,TRUE
dyspnea,15,Dyspnoe,umls,TRUE
sob,13,Dyspnoe,umls,TRUE
diaphragm,19,Diaphragma,umls,TRUE
degenerative changes,19,Degenerative Veränderungen,umls,TRUE
CT,33,CT,umls,TRUE
COPD,15,COPD,umls,TRUE
Surgical clips,8,chirurgische Klammern,umls,TRUE
carina,29,Carina,umls,TRUE
thoracic spine,17,Brustwirbelsäule,umls,TRUE
chest wall,9,Brustwand,umls,TRUE
impression no evidence,40,Beurteilung: kein Hinweis,analysis,TRUE
impression,814,Beurteilung,analysis,TRUE
report,1004,Bericht,analysis,TRUE
Aeration,14,Belüftung,,TRUE
bilateral,232,beidseitig,analysis,TRUE
findings,7,Befunde,,TRUE
bases,8,Basis,umls,TRUE
base,31,Basis,,TRUE
basilar,9,basilar,,TRUE
study,14,Aufnahme,,TRUE
atelectasis,129,Atelektase,umls,TRUE
Aspiration,32,Aspiration,umls,TRUE
thoracic aorta,9,Aorta thoracica,umls,TRUE
view,192,Ansicht,analysis,TRUE
appropriate clinical setting,40,angemessenes klinisches Umfeld,analysis,TRUE
acute cardiopulmonary,204,akut kardiopulmonal,analysis,TRUE
acute,466,akut,analysis,TRUE
Blunting,17,abgeflacht,umls,TRUE
abdomen,9,Abdomen,umls,TRUE
AP,14,a.p.,umls,TRUE
hyperinflated,11,überbläht,umls,TRUE
edema,28,Ödem,umls,TRUE
